via,zona,note
Via Giuseppe Abruzzetti,residenziale,
Via Abruzzi,residenziale,
Via Giacomo Acqua,residenziale,
Via Acquasanta,residenziale,
Via Acquaticcio,residenziale,
Via Pietro Paolo Agabiti,residenziale,
Via Gianni Agnelli,residenziale,
Via Agostino Novello,residenziale,
Via Aldo Manuzi,residenziale,
Via Dante Alighieri,residenziale,
Largo Salvador Allende,residenziale,
Via Ilaria Alpi,residenziale,
Via Giorgio Amendola,residenziale,
Vicolo Amici,residenziale,
Via Luigi Amici,residenziale,
Via Ancona,residenziale,
Via Cesare Anconetani,residenziale,
Via Andrea da Jesi,residenziale,
Via Mario Angeloni,residenziale,
Via Cesare e Giovanni Annibaldi,residenziale,
Piazzetta Appannaggio,residenziale,
Via Ottilia Armanni,residenziale,
Via Asiago,residenziale,
Via Eugenio Azzocchi,residenziale,
Via Vittorio Bachelet,residenziale,
Via Valerio Bacigalupo,residenziale,
Via Don Mario Bagnacavalli,residenziale,
Via Bagnatora,residenziale,
Costa Baldassini,residenziale,
Via Baldeschi Baleani,residenziale,
Piazza Don Ezio Balestra,residenziale,
Via Tano Baligani,residenziale,
Via Francesco Baracca,residenziale,
Via Bartolo da Sassoferrato,residenziale,
Via Cesare Battisti,residenziale,
Via Don Angelo Battistoni,residenziale,
Via Adele Bei,residenziale,
Via Giuseppe Belardinelli,residenziale,
Via Letteria Belardinelli,residenziale,
Via Belgio,residenziale,
Via Arnaldo Bellagamba,residenziale,
Via Bellavista,residenziale,
Via Bencari,residenziale,
Via Enrico Berlinguer,residenziale,
Via Augusto Bernacchia,residenziale,
Largo Marco Biagi,residenziale,
Via Ferruccio Bigi,residenziale,
Via Alfredo Binda,residenziale,
Via Bisaccioni,residenziale,
Via Nino Bixio,residenziale,
Via Alessandro Bocconi,residenziale,
Via Ugo Bordoni,residenziale,
Piazza Alberto Borioni,residenziale,
Via Paolo Borsellino,residenziale,
Via Bernardo Bosi,residenziale,
Piazza Donato Bramante,residenziale,
Via Briglia DI Gangalia,residenziale,
Via Giacomo Brodolini,residenziale,
Via Giordano Bruno,residenziale,
Via Guglielmo Brunori,residenziale,
Vicolo Buio,residenziale,
Via Bruno Buozzi,residenziale,
Piazza Caduti Sul Lavoro,residenziale,
Via Calabria,residenziale,
Via Campania,residenziale,
Via Campolungo,residenziale,
Via Cannuccia,residenziale,
Via Don Angelo Cappannini,residenziale,
Via Mattia Capponi,residenziale,
Via Giosuè Carducci,residenziale,
Via Pacifico Carotti,residenziale,
Via Cartiere Vecchie,residenziale,
Via Castelbellino,residenziale,
Via Castelfidardo,residenziale,
Via Castelrosino,residenziale,
Viale Felice Cavallotti,residenziale,
Via Camillo Benso Cavour,residenziale,
Via Quartina Ceccarelli,residenziale,
Via Fratelli Cervi,residenziale,
Via Alessandro Chiappetti,residenziale,
Via Chienti,residenziale,
Via Rocco Chinnici,residenziale,
Piazzale Anna Ciabotti,residenziale,
Via Enrico Cialdini,residenziale,
Via Don Clemente Ciattaglia,residenziale,
Via Dino Ciccoli,residenziale,
Via Celso Cingolani,residenziale,
Via Clementina,residenziale,
Via Colle Olivo,residenziale,
Via Colle Onorato,residenziale,
Via Colle Pacifico,residenziale,
Piazza Angelo Colocci,residenziale,
Via Antonio Colocci,residenziale,
Via Cristoforo Colombo,residenziale,
Via Francesco Compagna,residenziale,
Via Ajace Consonni,residenziale,
Via Virgilio Contadini,residenziale,
Via Federico Conti,residenziale,
Via Lando Conti,residenziale,
Via Francesco Contuzzi,residenziale,
Via Coppetella,residenziale,
Via Coppetella II,residenziale,
Via Fausto Coppi,residenziale,
Via Crete DI Gangalia,residenziale,
Via Carlo Crivelli,residenziale,
Via Cupetta,residenziale,
Via Pietro Cuppari,residenziale,
Via Cupramontana,residenziale,
Via Salvo D'Acquisto,residenziale,
Via Massimo D'Antona,residenziale,
Via Carlo Alberto dalla Chiesa,residenziale,
Via Danimarca,residenziale,
Via Edmondo de Amicis,residenziale,
Via Lauro de Bosis,residenziale,
Via Alcide de Gasperi,residenziale,
Via Enrico de Nicola,residenziale,
Via degli Appennini,residenziale,
Via degli Artigiani,residenziale,
Via degli Spaldi,residenziale,
Via degli Spiazzi,residenziale,
Largo Francesco Degrada,residenziale,
